"region";"address";"aux_address";"latitude";"longitude";"type";"power";"service";"power_kw"
"NDMC";"Prithviraj Market, Rabindra Nagar, New Delhi- 110003";"Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhi- 110003";28.600726;77.226252;"DC-001";"15 kW";"Self Service";15
"NDMC";"Prithviraj Market, Rabindra Nagar, New Delhi- 110003";"Electric Vehicle Charger, Prithviraj Market, Rabindra Nagar, New Delhi- 110003";28.600726;77.226252;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003";"Electric Vehicle Charger, Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003";28.588303;77.217697;"DC-001";"15 kW";"Self Service";15
"NDMC";"Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003";"Electric Vehicle Charger, Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003";28.582654;77.220087;"DC-001";"15 kW";"Self Service";15
"NDMC";"Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003";"Electric Vehicle Charger, Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003";28.584485;77.220316;"DC-001";"15 kW";"Self Service";15
"NDMC";"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021";"Electric Vehicle Charger, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021";28.602356;77.186618;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001";28.633686;77.21814;"DC-001";"15 kW";"Self Service";15
"NDMC";"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001";"Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001";28.630448;77.225558;"DC-001";"15 kW";"Self Service";15
"NDMC";"Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021";"Electric Vehicle Charger, Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021";28.583883;77.163408;"DC-001";"15 kW";"Self Service";15
"NDMC";"Khan Market, Rabindra Nagar, New Delhi- 110003";"Electric Vehicle Charger, Khan Market, Rabindra Nagar, New Delhi- 110003";28.600333;77.226889;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001";28.633675;77.223493;"DC-001";"15 kW";"Self Service";15
"NDMC";"Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001";28.632584;77.222979;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001";28.631729;77.222108;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001";"Electric Vehicle Charger, Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001";28.633841;77.207444;"DC-001";"15 kW";"Self Service";15
"NDMC";"NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhi- 110001";"Electric Vehicle Charger, NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhi- 110001";28.628163;77.215515;"DC-001";"15 kW";"Self Service";15
"NDMC";"NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhi- 110001";28.628163;77.215515;"DC-001";"15 kW";"Self Service";15
"NDMC";"Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001";28.635011;77.219611;"DC-001";"15 kW";"Self Service";15
"NDMC";"Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001";28.633883;77.221542;"DC-001";"15 kW";"Self Service";15
"NDMC";"Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, Opposite HP Petrol Pump, Block E, Middle Circle, Connaught Place, New Delhi- 110001";28.631896;77.221582;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001";"Electric Vehicle Charger, Outside Standard Chartered Bank, Sardar Patel Bhawan, Sansad Marg, New Delhi- 110001";28.624252;77.212582;"DC-001";"15 kW";"Self Service";15
"NDMC";"Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023";"Electric Vehicle Charger, Sarojini Nagar Market, Sarojini Nagar, New Delhi- 110023";28.577232;77.197239;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001";"Electric Vehicle Charger, Outside Iqbal Bros., G1, Block G, Connaught Place, New Delhi- 110001";28.633798;77.217455;"DC-001";"15 kW";"Self Service";15
"NDMC";"Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003";"Electric Vehicle Charger, Palika Maternity Hospital, Block 11, Lodhi Colony, Near Khanna Market, New Delhi 110003";28.583805;77.221823;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";"Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";28.617783;77.212996;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";"Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";28.617783;77.212996;"DC-001";"15 kW";"Self Service";15
"NDMC";"FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001";"Electric Vehicle Charger, FICCI, FICCI Chowk, Mandi House, Todermal Road Area, Mandi House, New Delhi110001";28.626869;77.231853;"DC-001";"15 kW";"Self Service";15
"NDMC";"Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021";"Electric Vehicle Charger, Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021";28.585288;77.177094;"DC-001";"15 kW";"Self Service";15
"NDMC";"PSOI Club, Chanakyapuri, New Delhi 110021";"Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021";28.586617;77.19364;"DC-001";"15 kW";"Self Service";15
"NDMC";"PSOI Club, Chanakyapuri, New Delhi 110021";"Electric Vehicle Charger, PSOI Club, Chanakyapuri, New Delhi 110021";28.586617;77.19364;"DC-001";"15 kW";"Self Service";15
"NDMC";"Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001";"Electric Vehicle Charger, Near Snow White, Block D, Inner Circle, Connaught Place, New Delhi 110001";28.633631;77.220579;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001";"Electric Vehicle Charger, Outside Van Heusen Showroom, Block C, Inner Circle, Connaught Place, New Delhi 110001";28.63299;77.217981;"DC-001";"15 kW";"Self Service";15
"NDMC";"16-B, Woodland Showroom, Block B, Connaught Place, New Delhi 110001";"Electric Vehicle Charger, 16-B, Woodland Showroom, Block B, Connaught Place, New Delhi 110001";28.634072;77.21878;"DC-001";"15 kW";"Self Service";15
"CMRL";"Nandanam Metro station Chennai  (CMRL)";"Electric Vehicle Charger, Nandanam Metro station Chennai  (CMRL)";12.995922;80.210287;"DC-001";"15 kW";"Self Service";15
"CMRL";"Nandanam Metro station Chennai  (CMRL)";"Electric Vehicle Charger, Nandanam Metro station Chennai  (CMRL)";12.995922;80.210287;"AC-001";"10(3.3 kW each)";"Self Service";10
"Maha Metro";"Nagpur Airport Metro Station, Nagpur";"Electric Vehicle Charger, Nagpur Airport Metro Station, Nagpur";21.08688;79.063559;"DC-001";"15 kW";"Self Service";15
"Maha Metro";"Nagpur Airport Metro Station, Nagpur";"Electric Vehicle Charger, Nagpur Airport Metro Station, Nagpur";21.08688;79.063559;"AC-001";"10(3.3 kW each)";"Self Service";10
"NDMC";"Yashwant Place, Chanakyapuri, New Delhi- 110021";"Electric Vehicle Charger, Yashwant Place, Chanakyapuri, New Delhi- 110021";28.585306;77.191;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhi- 110001";"Electric Vehicle Charger, Outside Bharat Sanchar Bhawan, Ashoke Road, Janpath, New Delhi- 110001";28.622224;77.214249;"DC-001";"15 kW";"Self Service";15
"NDMC";"Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021";"Electric Vehicle Charger, Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021";28.602356;77.186618;"DC-001";"15 kW";"Self Service";15
"NDMC";"Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021";"Electric Vehicle Charger, Charak Palika Hospital, C7 Lane, Moti Bagh 1, Blok F, New Moti Bagh, New Delhi 110021";28.585288;77.177094;"DC-001";"15 kW";"Self Service";15
"NDMC";"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003";"Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003";28.590711;77.224284;"DC-001";"15 kW";"Self Service";15
"NDMC";"Akashvani Bhawan, Sansad Marg, New Delhi 110001";"Electric Vehicle Charger, Akashvani Bhawan, Sansad Marg, New Delhi 110001";28.624516;77.213556;"DC-001";"15 kW";"Self Service";15
"NDMC";"Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001";"Electric Vehicle Charger, Opposite IVORY Mart, F Block, Inner Circle, Connaught Place, New Delhi 110001";28.550361;77.213916;"DC-001";"15 kW";"Self Service";15
"NDMC";"Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001";"Electric Vehicle Charger, Near ICICI Bank/Metro Gate No. 7 & 8, Block A, Inner Circle, Connaught Place, New Delhi 110001";28.632723;77.217847;"DC-001";"15 kW";"Self Service";15
"NDMC";"Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001";"Electric Vehicle Charger, Gopal Das Building, Barakhamba Road, Connaught Lane, Barakhamba, New Delhi110001";28.632584;77.222979;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi";"Electric Vehicle Charger, Outside UCO Bank, Block H, RR3, Connaught Place, New Delhi";28.635113;77.218421;"DC-001";"15 kW";"Self Service";15
"NDMC";"Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001";"Electric Vehicle Charger, Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001";28.617193;77.213645;"DC-001";"15 kW";"Self Service";15
"NDMC";"Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi";"Electric Vehicle Charger, Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi";28.578452;77.209231;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"Electronic City , Metro Station parking gate no.2, Noida - 201301";"Electric Vehicle Charger, Electronic City , Metro Station parking gate no.2, Noida - 201301";28.627941;77.37493;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301";"Electric Vehicle Charger, H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301";28.626582;77.375216;"DC-001";"15 kW";"Self Service";15
"NDMC";"Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003";"Electric Vehicle Charger, Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003";28.602443;77.217889;"DC-001";"15 kW";"Self Service";15
"NDMC";"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003";"Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003";28.590711;77.224284;"DC-001";"15 kW";"Self Service";15
"NDMC";"Talkatora Garden, President's Estate, New Delhi110004";"Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004";28.624836;77.195244;"DC-001";"15 kW";"Self Service";15
"NDMC";"Talkatora Garden, President's Estate, New Delhi110004";"Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004";28.624836;77.195244;"DC-001";"15 kW";"Self Service";15
"NDMC";"Talkatora Stadium, President's Estate, New Delhi110004";"Electric Vehicle Charger, Talkatora Stadium, President's Estate, New Delhi110004";28.625294;77.195234;"DC-001";"15 kW";"Self Service";15
"NDMC";"Indian Coffee House, Connaught Place, New Delhi";"Electric Vehicle Charger, Indian Coffee House, Connaught Place, New Delhi";28.63081;77.216158;"DC-001";"15 kW";"Self Service";15
"NDMC";"Talkatora Garden, President's Estate, New Delhi110004";"Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004";28.624836;77.195244;"DC-001";"15 kW";"Self Service";15
"NDMC";"Talkatora Stadium, President's Estate, New Delhi110004";"Electric Vehicle Charger, Talkatora Stadium, President's Estate, New Delhi110004";28.625294;77.195234;"DC-001";"15 kW";"Self Service";15
"CMRL";"High Court Metro Station, Chennai";"Electric Vehicle Charger, High Court Metro Station, Chennai";13.031849;80.241973;"DC-001";"15 kW";"Self Service";15
"CMRL";"High Court Metro Station, Chennai";"Electric Vehicle Charger, High Court Metro Station, Chennai";13.031849;80.241973;"AC-001";"10(3.3 kW each)";"Self Service";10
"CMRL";"Koyam Bedu  Metro Station, Chennai";"Electric Vehicle Charger, Koyam Bedu  Metro Station, Chennai";13.109281;80.152346;"DC-001";"15 kW";"Self Service";15
"CMRL";"Koyam Bedu  Metro Station, Chennai";"Electric Vehicle Charger, Koyam Bedu  Metro Station, Chennai";13.109281;80.152346;"AC-001";"10(3.3 kW each)";"Self Service";10
"CMRL";"Anna Nagar East Metro Station, Chennai (CMRL)";"Electric Vehicle Charger, Anna Nagar East Metro Station, Chennai (CMRL)";12.995922;80.210287;"DC-001";"15 kW";"Self Service";15
"CMRL";"Anna Nagar East Metro Station, Chennai (CMRL)";"Electric Vehicle Charger, Anna Nagar East Metro Station, Chennai (CMRL)";12.995922;80.210287;"AC-001";"10(3.3 kW each)";"Self Service";10
"NDMC";"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023";"Electric Vehicle Charger, NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023";28.577232;77.197239;"DC-001";"15 kW";"Self Service";15
"NDMC";"Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003";"Electric Vehicle Charger, Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003";28.602443;77.217889;"DC-001";"15 kW";"Self Service";15
"NDMC";"Janpath Guest House, Connaught Place, New Delhi";"Electric Vehicle Charger, Janpath Guest House, Connaught Place, New Delhi";28.623779;77.218963;"DC-001";"15 kW";"Self Service";15
"SDMC";"EESL N-Block GK-1, SDMC parking New Delhi";"Electric Vehicle Charger, EESL N-Block GK-1, SDMC parking New Delhi";28.556841;77.234049;"DC-001";"15 kW";"Self Service";15
"SDMC";"SDMC Parking, B6, Safderjung Enclave";"Electric Vehicle Charger, SDMC Parking, B6, Safderjung Enclave";28.550361;77.213916;"DC-001";"15 kW";"Self Service";15
"SDMC";"SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016";"Electric Vehicle Charger, SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016";28.546391;77.196355;"DC-001";"15 kW";"Self Service";15
"SDMC";"SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016";"Electric Vehicle Charger, SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016";28.545394;77.190823;"DC-001";"15 kW";"Self Service";15
"SDMC";"SDMC Parking, R Block, GK-1, DELHI-110016";"Electric Vehicle Charger, SDMC Parking, R Block, GK-1, DELHI-110016";28.550014;77.24487;"DC-001";"15 kW";"Self Service";15
"NKDA";"Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156";"Electric Vehicle Charger, Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156";22.579939;88.453181;"DC-001";"15 kW";"Self Service";15
"NKDA";"Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156";"Electric Vehicle Charger, Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156";22.579939;88.453181;"AC-001";"10(3.3 kW each)";"Self Service";10
"NKDA";"NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059";"Electric Vehicle Charger, NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059";22.585303;88.456906;"DC-001";"15 kW";"Self Service";15
"NKDA";"NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059";"Electric Vehicle Charger, NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059";22.585303;88.456906;"AC-001";"10(3.3 kW each)";"Self Service";10
"NKDA";"Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135";"Electric Vehicle Charger, Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135";22.603134;88.467143;"DC-001";"15 kW";"Self Service";15
"NKDA";"Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135";"Electric Vehicle Charger, Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135";22.603134;88.467143;"AC-001";"10(3.3 kW each)";"Self Service";10
"NKDA";"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156";"Electric Vehicle Charger, Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156";22.583356;88.459342;"DC-001";"15 kW";"Self Service";15
"NKDA";"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156";"Electric Vehicle Charger, Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156";22.583356;88.459342;"AC-001";"10(3.3 kW each)";"Self Service";10
"NKDA";"NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160";"Electric Vehicle Charger, NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160";22.577097;88.479632;"DC-001";"15 kW";"Self Service";15
"NKDA";"NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160";"Electric Vehicle Charger, NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160";22.577097;88.479632;"AC-001";"10(3.3 kW each)";"Self Service";10
"NKDA";"NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156";"Electric Vehicle Charger, NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156";22.579653;88.459843;"DC-001";"15 kW";"Self Service";15
"NKDA";"NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156";"Electric Vehicle Charger, NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156";22.579653;88.459843;"AC-001";"10(3.3 kW each)";"Self Service";10
"Noida Authority";"Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301";"Electric Vehicle Charger, Ganga Shopping Complex, Sector 29, Noida, Uttar Pradesh 201301";28.57215;77.337546;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India";"Electric Vehicle Charger, Near RTO OfficeSector 33A, Noida, Ghaziabad, Uttar Pradesh, 201301, India";28.58212;77.326699;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India";"Electric Vehicle Charger, Sector 15, Nithari, Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India";28.626582;77.375216;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313";"Electric Vehicle Charger, road between sector 124 & 125 and beside SPCl Sector Road, Noida, Uttar Pradesh, 201313";28.548194;77.322194;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"Between kirti mann plaza and NMC hospital Sector 30 Noida";"Electric Vehicle Charger, Between kirti mann plaza and NMC hospital Sector 30 Noida";28.572798;77.340531;"DC-001";"15 kW";"Self Service";15
"Noida Authority";"Sector 142, Noida, Uttar Pradesh, 201305";"Electric Vehicle Charger,  Sector 142, Noida, Uttar Pradesh, 201305";28.626582;77.375216;"DC-001";"15 kW";"Self Service";15
"NDMC";"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";"Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";28.617783;77.212996;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";"Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";28.617783;77.212996;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003";"Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003";28.590711;77.224284;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003";"Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003";28.590711;77.224284;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";"Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";28.617783;77.212996;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";"Electric Vehicle Charger, Outside Chelmsford Club/ Opposite CSIR Building, Rafi Marg, Sansad Marg Area, New Delhi 110001";28.617783;77.212996;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
"NDMC";"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023";"Electric Vehicle Charger, NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023";28.577232;77.197239;"CCS/ChADEMO/ Type 2 AC";"142kW";"Self Service";142
